content,sentiment
"['respons', 'terkait', 'pengaduan', 'masalah', 'koneksi', 'cepat', 'di', 'tangani', 'dan', 'diperbaiki', 'oleh', 'teknisi', 'jam', 'sangat', 'memuaskan']",1
"['data', 'indihom', 'bocor', 'diem', 'bae', 'wifi', 'rusak', 'sinyal', 'ga', 'dpt', 'malah', 'disuruh', 'restart', 'modem', 'ngasih', 'solusi', 'tapi', 'berasa', 'ngomong', 'kyk', 'robot', 'batu', 'semua', 'karyawan', 'nya', 'tapi', 'klo', 'soal', 'harga', 'naik', 'gembar', 'gembornya', 'ga', 'main', 'main']",-1
"['kalo', 'laporan', 'gangguan', 'laporan', 'di', 'aplikasi', 'udah', 'selesai', 'padah', 'teknisi', 'ga', 'ada', 'yang', 'datang', 'satu', 'pun']",-1
"['aplikasinya', 'bagu', 'kita', 'bisa', 'tahu', 'tagihan', 'internet', 'wifi', 'dan', 'dapat', 'poin', 'lagi']",1
"['layanan', 'mantap', 'ramah', 'dan', 'cepat', 'bangga', 'pake', 'indihom']",1
"['setelah', 'updat', 'tidak', 'bisa', 'dibuka', 'kode', 'verifikasi', 'juga', 'error', 'teru']",-1
"['untung', 'belum', 'langganan', 'baru', 'download', 'aplikasinya', 'saja', 'udah', 'se', 'jelek', 'ini']",-1
"['error', 'tidak', 'bisa', 'masuk', 'akun', 'alasan', 'peningkatan', 'pelayanan']",-1
"['awal', 'pasang', 'internetnya', 'ngebut', 'bgt', 'buat', 'apa', 'pun', 'lancar', 'tp', 'cuma', 'awalnya', 'aja', 'lelet', 'bgt', 'gangguan', 'aplikasi', 'my', 'indihom', 'jg', 'sere', 'gak', 'bisa', 'dibuka', 'peningkata', 'pelayanan', 'tp', 'kok', 'gak', 'ada', 'peningkatan']",-1
"['apa', 'aplikasi', 'ini', 'masih', 'berguna', 'kenapa', 'saya', 'login', 'untuk', 'pengaduan', 'internet', 'yang', 'tidak', 'berfungsi', 'malah', 'tidak', 'bisa', 'saya', 'sudah', 'membayar', 'tapi', 'internet', 'tidak', 'bisa', 'di', 'gunakan']",-1
"['aplikasi', 'yang', 'tidak', 'berjalan', 'sebagaimana', 'mestinya', 'diminta', 'updat', 'password', 'tapi', 'kode', 'otp', 'nya', 'tidak', 'bisa', 'digunakan', 'sama', 'sekali', 'baik', 'melalui', 'wa', 'atau', 'sm', 'semua', 'kode', 'nya', 'eror', 'tolong', 'diperbaiki', 'kekeliruan', 'ini']",-1
"['ga', 'ada', 'updatan', 'sama', 'sekali', 'dan', 'skrng', 'ga', 'bisa', 'di', 'aks', 'aplikasi', 'macam', 'apa', 'inj']",-1
